ticker,date,kind,evidence,note
MP,2020-11-18,both,0001193125-20-296150,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2020-11-17, Fortress Value Acquisition Corp -> MP Materials); the close-day bar is still the shell."
RSI,2020-12-30,both,0001193125-21-002054,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2020-12-29, dMY Technology Group -> Rush Street Interactive); the close-day bar is still the shell."
HIMS,2021-01-21,both,0001193125-21-017838,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2021-01-20, Oaktree Acquisition Corp -> Hims & Hers); the close-day bar is still the shell."
MIR,2021-10-21,both,0001193125-21-305946,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2021-10-20, GS Acquisition Holdings Corp II -> Mirion); the close-day bar is still the shell."
DAVE,2022-01-06,both,0001193125-22-006854,"SPAC lineage: before this date the CIK and the Yahoo series are the blank-check shell (~$10 trust value; as-filed 10-Qs = trust income). date = first trading day after the merger close (2022-01-05, VPC Impact Acquisition Holdings III -> Dave); the close-day bar is still the shell. Dev window."
KNTK,2018-11-09,fundamentals_break,0001193125-18-324997,"SPAC lineage: Kayne Anderson Acquisition Corp -> Altus Midstream, closed 2018-11-09. Yahoo KNTK starts 2018-11-13 (no shell bars), so fundamentals only."
KNTK,2022-02-22,fundamentals_break,0001193125-22-058156,"Altus -> Kinetik closed 2022-02-22: 'reverse merger, BCP was considered the accounting acquirer and Altus the legal acquirer' (8-K 0001193125-22-146661 EX-99.1). Dev window."
ASTH,2017-12-08,fundamentals_break,0001144204-17-063540,"Reverse merger: the CIK is the legal acquirer, while post-merger filings present Network Medical Management (merger closed; Nasdaq trading from 2017-12-08) as the accounting predecessor. Prices are the same listed security (kept). Fiscal year also changed Mar -> Dec."
OPCH,2019-08-06,fundamentals_break,0001144204-19-038047,"Reverse merger: the CIK is the legal acquirer, while post-merger filings present Option Care (BioScrip = legal acquirer; mergers closed 2019-08-06) as the accounting predecessor. Prices are the same listed security (kept)."
SKY,2018-06-01,fundamentals_break,0001193125-18-185002,"Reverse merger: the CIK is the legal acquirer, while post-merger filings present Champion (Skyline = legal acquirer; exchange completed 2018-06-01) as the accounting predecessor. Prices are the same listed security (kept). Fiscal year also changed."
DCOM,2021-02-01,fundamentals_break,0001104659-21-009751,"Bridge Bancorp (legal/CIK) + Dime merger closed 2021-02-01; 'The Merger ... was accounted for as a reverse merger' (10-Q 0000846617-21-000029), so legacy Dime is the accounting predecessor. Prices kept."
MTCH,2020-07-01,fundamentals_break,0001104659-20-080606,"Old IAC (this CIK) separated from Old Match 2020-06-30; renamed Match Group, trading as MTCH from 2020-07-01. Earlier as-filed quarters are IAC consolidated; later ones are Match. Prices and CIK both follow the IAC lineage (kept). (The as-filed Q2 2020 10-Q is likely already Match-basis, so 2020-04-01 would also be defensible; 2020-07-01 is the conservative choice.)"
CRC,2020-11-01,fundamentals_break,0001609253-20-000193,"Bankruptcy fresh-start: emerged 2020-10-27. date = first day of the successor period, so the predecessor stub quarter ending on the emergence date is excluded. Per-share units differ (old equity cancelled). The store's predecessor stub is labelled 'Q4 2020' ending 2020-10-31 (EPS 79.54, reorg gain), hence 2020-11-01 not 10-28."
VAL,2021-05-01,fundamentals_break,0001104659-21-058903,"Bankruptcy fresh-start: emerged 2021-04-30. date = first day of the successor period, so the predecessor stub quarter ending on the emergence date is excluded. Per-share units differ (old equity cancelled). The store has the predecessor stub ending 2021-04-30 and the successor stub mislabelled 'Q3 2021' ending 2021-06-30."
GPOR,2021-05-18,fundamentals_break,0001213900-21-027082,"Bankruptcy fresh-start: emerged 2021-05-17. date = first day of the successor period, so the predecessor stub quarter ending on the emergence date is excluded. Per-share units differ (old equity cancelled)."
TDW,2017-08-01,fundamentals_break,0001193125-17-242513,"Bankruptcy fresh-start: emerged 2017-07-31. date = first day of the successor period, so the predecessor stub quarter ending on the emergence date is excluded. Per-share units differ (old equity cancelled). Yahoo encodes the equity conversion as a 0.031 split, so prices are continuous (kept). Resolved from the emergence 8-K, not dependent on the back-fill."
BTU,2017-04-03,fundamentals_break,0001193125-17-108650,"Bankruptcy fresh-start: emerged 2017-04-03 (predecessor period ends 2017-04-01). date = first day of the successor period, so the predecessor stub quarter ending on the emergence date is excluded. Per-share units differ (old equity cancelled). Yahoo BTU starts at re-listing 2017-04-03. Resolved from the emergence 8-K."
WFRD,2019-12-14,fundamentals_break,0001104659-19-073841,"Bankruptcy fresh-start: emerged 2019-12-13. date = first day of the successor period, so the predecessor stub quarter ending on the emergence date is excluded. Per-share units differ (old equity cancelled). Yahoo WFRD starts 2021-01, so this only matters if pre-2021 quarters are paired."
LEU,2014-10-01,fundamentals_break,0001193125-14-358617,"Bankruptcy fresh-start: emerged 2014-09-30 (USEC -> Centrus). date = first day of the successor period, so the predecessor stub quarter ending on the emergence date is excluded. Per-share units differ (old equity cancelled). Outside every 2017+ window; included for completeness."
PRG,2021-04-06,bad_bar,kashif_data/prices/US/PRG.parquet,"Single bad print: close 26.01 between 43.61 (04-05) and 43.36 (04-07), on 239k shares vs a 501k 20-day median. No split or event."
