accession,score_b,rationale_b,score_a,rationale_a
0001193125-22-275386,NEUTRAL,"Corrects a 10-Q typo to match already-released sales volume guidance; a volume figure, not a profit guidance change, so not scorable as a cut.",NEUTRAL,"The filing only corrects a clerical error so the 10-Q matches the already-published 23.75-24.50M ton sales volume guidance, and volume guidance is neutral in any case."
0001171843-23-002640,STRONG_POSITIVE,GAAP diluted EPS rose to $0.15 from $0.06 and adjusted EBITDA rose to $25.0M from $13.2M versus the prior-year quarter.,STRONG_POSITIVE,"GAAP income from operations swung to $2.6M from a $7.7M loss and non-GAAP adjusted EBITDA rose to $25.0M from $13.2M, with GAAP net income up to $3.5M from $1.5M despite a much smaller tax benefit."
0000067215-22-000051,STRONG_POSITIVE,Diluted EPS rose to $1.46 from $0.59 and adjusted EBITDA rose to $104.7M from $73.8M versus the year-ago quarter.,NEUTRAL,"Same-day earnings-call transcript (7.01) repeating results already scored in the accompanying 2.02 release (0000067215-22-000049); scored NEUTRAL to avoid double-counting, consistent with other same-day investor materials in this batch."
0001193125-22-303798,NEUTRAL,Routine governance bylaw update with no business or financial impact.,NEUTRAL,Routine bylaw amendments conforming to Delaware law changes.
0000007084-22-000026,STRONG_POSITIVE,GAAP diluted EPS rose to $1.83 from $0.93 and adjusted EPS rose to $1.86 from $0.97 versus Q3 2021.,STRONG_POSITIVE,"GAAP diluted EPS rose to $1.83 from $0.93 and non-GAAP adjusted EPS to $1.86 from $0.97 YoY, with GAAP net earnings of $1,031M vs $526M."
0000950170-22-020015,STRONG_POSITIVE,GAAP diluted EPS rose to $0.12 from $0.02 and adjusted diluted EPS rose to $0.24 from $0.18 versus the prior-year quarter (guidance only reiterated).,STRONG_POSITIVE,"GAAP net income to common shareholders rose to $3.1M ($0.12/share) from $0.5M ($0.02) YoY, and non-GAAP adjusted EBITDA to $7.4M from $6.3M."
0000042888-23-000029,NEUTRAL,Routine benchmark-rate amendment to an existing credit facility with no growth or risk implication.,NEUTRAL,"Routine credit-facility amendment changing the benchmark rate, a debt agreement with no commercial significance."
0001562088-24-000048,STRONG_POSITIVE,GAAP net income was $12.1M versus a $13.9M loss and adjusted EBITDA rose to $35.2M from $5.2M in the prior-year quarter.,STRONG_POSITIVE,"GAAP net income was $12.1M versus a $13.9M net loss in Q4 2022 and non-GAAP adjusted EBITDA rose to $35.2M from $5.2M, on 45% revenue growth."
0001646972-22-000015,NEUTRAL,"Routine conversion of convertible preferred into common stock; no capital raise, earnings or growth event.",NEUTRAL,"Routine Item 3.02 exempt conversion of convertible preferred into common stock, with no operating or financial news."
0001104659-22-008308,NEUTRAL,"Debt redemption is routine balance-sheet management, which the rubric treats as neutral.",NEUTRAL,Planned redemption of senior notes at par is a routine debt-management item.
0001564590-22-005946,NEUTRAL,"Boilerplate tax-disclosure exhibit with no financial results, deal or corporate event, so it is routine.",NEUTRAL,"Boilerplate tax disclosure for use with the shelf registration, with no operating or financial news."
0001193125-22-265655,NEUTRAL,"Q3 net income of $64.6M and EPS $0.46 are given without prior-year profit figures (only ratio comparisons like ROATCE), so the strict YoY profit rule is not met.",NEUTRAL,"Reg FD (7.01) slide deck for investor meetings that repeats Q3 2022 figures already released the prior day, with no new results, guidance or transaction."
0000913760-22-000056,NEUTRAL,"Routine annual-meeting votes on directors, auditor ratification and say-on-pay, no price-relevant event.",NEUTRAL,"Routine 5.07 disclosure of director elections, auditor ratification and say-on-pay results."
0001437749-22-019639,NEUTRAL,"Generic risk-factor update with no specific adverse event, investigation or results disclosed.",NEUTRAL,"Generic update to a risk factor on attracting and retaining personnel and vessel crews, with no specific adverse event disclosed."
0001628280-21-020444,STRONG_POSITIVE,"GAAP diluted EPS from continuing operations rose to $1.87 from $0.84 and adjusted EPS to $1.89 from $0.93 YoY, and full-year GAAP and adjusted EPS guidance was raised.",STRONG_POSITIVE,Non-GAAP adjusted EPS rose 103% to $1.89 from $0.93 (GAAP EPS $1.87 vs $0.84) and 2021 GAAP EPS guidance was raised to $6.50-$6.60 from $6.05-$6.25 (adjusted to $6.35-$6.45 from $5.95-$6.15).
0001564590-22-005947,NEUTRAL,Presentation compares performance mainly to 2019 and states no explicit prior-year profit figure; reinstated distributions alone are neutral.,NEUTRAL,"Reg FD investor presentation summarizing previously reported results and operating trends, with no new results or guidance."
0000067215-22-000031,STRONG_POSITIVE,Diluted EPS rose to $0.65 from $0.03 and non-GAAP Adjusted EBITDA to $63.7M from $44.1M versus the year-ago quarter.,NEUTRAL,"Same-day earnings-call transcript (7.01) repeating results already scored in the accompanying 2.02 release (0000067215-22-000029); scored NEUTRAL to avoid double-counting, consistent with other same-day investor materials in this batch."
0001140361-23-053665,STRONG_POSITIVE,FDA licensure of a new plasma center is a regulatory approval and capacity expansion completing the plasma self-sufficiency goal.,STRONG_POSITIVE,FDA licensure of the tenth plasma collection facility is a regulatory approval and capacity expansion that the company says achieves plasma supply self-sufficiency.
0001104659-22-012797,STRONG_POSITIVE,GAAP Q4 net income rose to $35.7M ($1.05/share) from $14.7M ($0.43) and FY diluted EPS to $2.88 from $1.46 YoY.,STRONG_POSITIVE,"GAAP net income rose to $35.7M ($1.05 diluted EPS) in Q4 2021 from $14.7M ($0.43) in Q4 2020, and full-year GAAP operating income rose to $127.3M from $58.0M."
0001104659-23-036717,NEUTRAL,Routine credit facility amendment/refinancing with no clearly growth-directed or adverse terms disclosed.,NEUTRAL,Credit facility amendment is a routine debt agreement item.
0001193125-24-058014,NEUTRAL,Selling-stockholder secondary offering paired with a buyback raises no capital for growth and is a routine capital-markets item.,NEUTRAL,A selling stockholder's secondary offering at $56 with a partial company repurchase raises no new capital and has no operating implication.
0001915657-22-000032,NEUTRAL,"Retirement with prorated bonus and normal vesting indicates a routine departure, not negative circumstances.",NEUTRAL,"Planned retirement of Thomas Creery with a prorated bonus and his duties assumed by the CEO, with no negative circumstances stated."
0001193125-23-195264,STRONG_POSITIVE,"GAAP net earnings rose 15% to $120.8M and diluted EPS 24% to $3.40 from $2.75, with adjusted EPS up 26% to $3.55 YoY.",STRONG_POSITIVE,"GAAP net earnings rose 15% to $120.8 million and GAAP diluted EPS rose 24% to $3.40 from $2.75 YoY, with non-GAAP Adjusted EPS up 26% to $3.55."
0000042888-23-000012,NEUTRAL,Routine internal officer reassignments with no departure under negative circumstances.,NEUTRAL,Planned internal promotions to CTO and principal accounting officer with no departure or negative circumstances.
0001646972-22-000018,NEUTRAL,"Routine conversion of convertible preferred into common stock, not a growth-linked capital raise.",NEUTRAL,"Routine Item 3.02 exempt conversion of convertible preferred into common stock, with no operating or financial news."
0000950170-22-018357,NEUTRAL,Regular dividend declaration is routine under the rubric.,NEUTRAL,Ordinary quarterly dividend declaration with no other news.
0001104659-22-008437,NEUTRAL,TEXT_UNUSABLE: only the amendment cover page is present with no substantive Item 7.01 content to score.,NEUTRAL,"TEXT_UNUSABLE: text is only the amendment statement and cover-page boilerplate, with the amended 7.01 content not included."
0001437749-22-025267,NEUTRAL,"GAAP net income of $152.1M and adjusted EBITDA of $180.9M are given without consolidated prior-year profit figures (only revenue and per-ton margin comparisons), so the strict rule is not met.",NEUTRAL,"GAAP net income of $152.1M and Adjusted EBITDA of $180.9M are reported without prior-year consolidated comparisons in the text, so despite higher per-ton cash margins and segment (CMT) net income, no explicit consolidated YoY profit-line improvement is shown."
0001562762-22-000355,NEUTRAL,Sustainability report release is routine with no financial or corporate event.,NEUTRAL,Reg FD release announcing a sustainability report contains no new financial results or material business event.
0001710366-23-000016,NEUTRAL,"GAAP net income of $167.7M (EPS $4.94) and adjusted EBITDA of $276.0M lack consolidated prior-year comparisons, and buybacks/debt reduction alone are neutral.",NEUTRAL,"GAAP net income of $167.7M and Adjusted EBITDA of $276.0M are given without prior-year consolidated comparisons in the text, so only revenue growth, per-ton cash margin gains and a segment (CMT) net income rise are shown, which does not meet the explicit consolidated profit-line test."
