accession,agent,api,api_model
0001558370-21-014306,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001668397-24-000089,STRONG_POSITIVE,NEUTRAL,gemini-3.1-flash-lite
0001698990-22-000003,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000799292-23-000003,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001193125-22-046001,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-22-066155,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001801368-22-000006,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0000066570-24-000002,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001104657-23-000015,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-21-005283,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001564590-21-054523,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001628280-22-027919,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-22-258194,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-22-256802,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-23-177591,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-23-122530,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0001282637-23-000008,STRONG_POSITIVE,NEUTRAL,gemini-3.1-flash-lite
0001193125-21-351203,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000070145-21-000027,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001104485-22-000200,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001104485-22-000193,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001104485-22-000183,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-22-263758,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001104485-22-000045,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001104485-22-000040,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001104485-22-000037,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001104485-22-000023,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-22-020390,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001104659-24-031881,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0001157523-22-001409,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001720635-23-000042,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001720635-22-000057,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001720635-22-000050,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0000071691-24-000103,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001466593-24-000034,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001466593-24-000010,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001564590-22-037074,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001564590-22-031028,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001628280-22-004674,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001564590-22-000288,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-21-356865,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001140361-21-040746,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000080420-22-000034,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001658566-22-000128,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001658566-22-000117,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001658566-22-000017,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001658566-21-000128,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-24-014705,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-23-071177,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0000950170-23-068571,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001361538-23-000022,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001361538-23-000016,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001564590-21-061438,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001564590-21-055431,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001107843-23-000005,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-23-221490,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001718227-23-000052,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-22-001759,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-22-000995,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-22-024682,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-22-009213,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001492298-24-000013,STRONG_POSITIVE,NEUTRAL,gemini-3.1-flash-lite
0000893538-22-000043,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0000893538-22-000016,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0000893538-22-000011,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001375365-22-000124,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001375365-22-000115,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001375365-22-000109,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001702744-22-000023,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001104659-22-007427,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000913760-22-000028,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000719220-22-000074,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000719220-22-000071,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000719220-22-000069,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000719220-22-000066,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0001437749-23-022115,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0000950159-23-000223,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001437749-24-006107,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001437749-23-022333,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001104659-23-078507,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001437749-23-013027,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001437749-23-011429,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001437749-22-026961,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001437749-22-025788,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0000099780-24-000114,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000099780-24-000105,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000099780-24-000052,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0000005513-22-000141,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0000005513-22-000135,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000005513-22-000132,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001558370-22-015597,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001558370-22-015414,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001261654-22-000082,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001193125-22-139032,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001261654-22-000076,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001261654-22-000069,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001193125-22-044023,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0001193125-22-034451,NEUTRAL,STRONG_POSITIVE,openai/gpt-oss-20b
0001261654-22-000045,STRONG_POSITIVE,STRONG_POSITIVE,gemini-3.1-flash-lite
0001140361-24-001518,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001628280-23-037567,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-23-062035,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0000950170-22-011021,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0000950170-22-008506,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001603923-23-000121,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001603923-23-000099,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001104659-23-047448,NEUTRAL,NEUTRAL,gemini-3.1-flash-lite
0001636222-24-000091,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001636222-24-000071,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001104659-22-040928,NEUTRAL,NEUTRAL,openai/gpt-oss-20b
0001647088-22-000005,STRONG_POSITIVE,NEUTRAL,openai/gpt-oss-20b
0001345016-23-000053,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
0001345016-23-000038,STRONG_POSITIVE,STRONG_POSITIVE,openai/gpt-oss-20b
