ticker,flag,evidence,harmful,note
OVV,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001792580 first 10-Q/10-K 2020-02-21,no,"Encana -> Ovintiv 2020 (new CIK, 1:5 consolidation encoded by Yahoo). Pre-2020 fundamentals missing (conservative)."
OZK,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001569650 first 10-Q/10-K nan,no,"Bank files periodic reports with its bank regulator, not EDGAR (no 10-Q/10-K). No fundamentals -> never eligible. Its 2014-06 2:1 split is also missing from known_splits."
PAYO,a_prices_before_first_filing,Yahoo from 2020-10-16; CIK 0001845815 first 10-Q/10-K 2021-08-11,no,"SPAC shell prices 2020-10..2021-06 under new CIK. Low risk (flat ~$10, no fundamentals)."
PFBC,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001492165 first 10-Q/10-K nan,no,"Bank files with its regulator, not EDGAR. No fundamentals -> never eligible."
PNFP,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0002082866 first 10-Q/10-K 2026-03-02,no,Pinnacle new holdco CIK 2025/26 (Synovus merger). No fundamentals before 2026: never eligible in either window. Coverage gap.
PPLI,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001800227 first 10-Q/10-K 2020-06-03,yes,"New IAC was SPUN 2020-07-01. Yahoo PPLI before that is old IAC (now Match Group lineage), scaled by 3.054. The same pre-2020 path also sits under MTCH. Contaminates price signals 2020-07..2021-06 (validation window). Fix: cut PPLI history before 2020-07-01."
PRG,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001808834 first 10-Q/10-K 2020-10-29,no,Aaron's holdco 2020 (new CIK) then spin 2020-12. PRG = continuing parent. Pre-2020 fundamentals missing (conservative). See c rows for the 2021-04-06 bad print.
QDEL,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001906324 first 10-Q/10-K 2022-08-05,no,QuidelOrtho holdco 2022 (new CIK). Prices = Quidel. ALL validation-window fundamentals missing -> never eligible (a 2020 winner the EW basket keeps). Coverage gap; chain predecessor CIK.
ROIV,a_prices_before_first_filing,Yahoo from 2020-12-08; CIK 0001635088 first 10-Q/10-K 2021-09-21,no,SPAC shell prices 2020-12..2021-09 under Roivant CIK (Roivant 10-Qs from 2021-09). Low risk.
SHC,a_prices_before_first_filing,Yahoo from 2020-11-20; CIK 0001822479 first 10-Q/10-K 2021-03-09,no,IPO timing lag. Same company.
SITM,a_prices_before_first_filing,Yahoo from 2019-11-20; CIK 0001451809 first 10-Q/10-K 2020-03-02,no,IPO timing lag. Same company.
SWX,a_prices_before_first_filing,Yahoo from 2014-06-02; CIK 0001692115 first 10-Q/10-K 2017-02-28,no,"Holdco reorg 2017 (8-K12B, new CIK). Same business; pre-2017 fundamentals missing (conservative)."
TALO,a_prices_before_first_filing,Yahoo from 2018-05-10; CIK 0001724965 first 10-Q/10-K 2018-08-09,no,Listed 2018-05 (Stone merger); first 10-Q 91 days later.
UNIT,a_prices_before_first_filing,Yahoo from 2015-04-20; CIK 0002020795 first 10-Q/10-K 2025-03-24,no,Uniti new CIK 2024 (Windstream merger). No fundamentals before 2024: coverage gap in validation and dev.
VNOM,a_prices_before_first_filing,Yahoo from 2014-06-18; CIK 0002074176 first 10-Q/10-K 2025-11-05,no,Viper new holdco CIK 2025. No fundamentals before 2025: never eligible in validation and dev 2022-2025. Coverage gap.
HLX,a_prices_before_first_filing,No CIK in the current SEC ticker map; Yahoo HLX history now starts 2026-07-17 (re-download returned only the new line),no,Absent from validation (no prices/fundamentals). Also lost 2022-2026 history for dev; check the dev bundle.
LEG,a_prices_before_first_filing,No CIK in the current SEC ticker map (delisted 2026); prices 2014-2026-08 exist,no,cik_for() returns None -> no fundamentals -> never eligible. Coverage gap; old CIK 58492 could be pinned.
DAVE,b_spac_lineage_cik,"former name 'VPC Impact Acquisition Holdings III, Inc.' (2021-01-29..2022-01-07) -> 'Dave Inc./DE'; SIC now Finance Services; VPC Impact III SPAC -> Dave 2022-01 (dev window)",yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
MIR,b_spac_lineage_cik,"former name 'GS Acquisition Holdings Corp II' (2020-04-20..2021-10-19) -> 'Mirion Technologies, Inc.'; SIC now Measuring & Controlling Devices, NEC; GS Acq Holdings II SPAC -> Mirion 2021-10",yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
SSB,b_merger_of_equals_verify,former name 'SOUTH STATE Corp' (2014-07-03..2021-09-03) -> 'SouthState Bank Corp'; SIC now State Commercial Banks; SouthState (legal) + CenterState 2020-06 merger of equals: CenterState believed to be accounting acquirer,verify,"If the accounting acquirer differs from the legal (CIK) entity, the first-year YoY after the merger mixes two banks' as-filed figures. Check the 10-K 'accounting acquirer' note."
MARA,b_business_change,"former name 'Marathon Patent Group, Inc.' (2012-11-05..2021-02-19) -> 'MARA Holdings, Inc.'; SIC now Finance Services; Marathon Patent Group -> bitcoin miner (pivot ~2017-18). Same legal entity",no,Same legal entity throughout; as-filed figures are that entity's own. No two-company mix in 2017-2021.
DCOM,b_merger_of_equals_verify,"former name 'BRIDGE BANCORP, INC.' (2019-08-22..2021-01-29) -> 'Dime Commercial Bancshares, Inc. /NY/'; SIC now National Commercial Banks; Bridge Bancorp (legal) + Dime 2021-02 merger of equals: accounting acquirer to verify",verify,"If the accounting acquirer differs from the legal (CIK) entity, the first-year YoY after the merger mixes two banks' as-filed figures. Check the 10-K 'accounting acquirer' note."
HIMS,b_spac_lineage_cik,"former name 'Oaktree Acquisition Corp.' (2019-05-02..2021-01-19) -> 'Hims & Hers Health, Inc.'; SIC now Services-Offices & Clinics of  Doctors of  Medicine; Oaktree Acq SPAC -> Hims & Hers 2021-01",yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
RSI,b_spac_lineage_cik,"former name 'dMY Technology Group, Inc.' (2019-12-06..2020-12-28) -> 'Rush Street Interactive, Inc.'; SIC now Services-Miscellaneous Amusement & Recreation; dMY Technology SPAC -> Rush Street 2020-12",yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
MP,b_spac_lineage_cik,former name 'Fortress Value Acquisition Corp.' (2020-02-06..2020-11-16) -> 'MP Materials Corp. / DE'; SIC now Metal Mining; Fortress Value SPAC -> MP Materials 2020-11,yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
MTCH,b_business_change,"former name 'IAC/INTERACTIVECORP' (2004-07-14..2020-07-01) -> 'Match Group, Inc.'; SIC now Services-Computer Programming, Data Processing, Etc.; old IAC renamed Match Group 2020-07-01 (same CIK & Yahoo price lineage = IAC)",yes,"YoY across 2020-07 compares new Match (Match as accounting predecessor) with IAC's as-filed consolidated quarters: spurious growth Q3 2020..Q2 2021 (validation). Before 2020-07, prices and filings are both IAC, so consistent. Fix: history break at 2020-07-01."
WSC,b_spac_lineage_cik,former name 'WillScot Corp' (2017-10-04..2020-07-01) -> 'WillScot Holdings Corp'; SIC now Services-Miscellaneous Equipment Rental & Leasing; Double Eagle SPAC -> WillScot 2017-11,yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
AHCO,b_spac_lineage_cik,former name 'DFB Healthcare Acquisitions Corp.' (2017-12-29..2019-11-08) -> 'AdaptHealth Corp.'; SIC now Services-Home Health Care Services; DFB Healthcare SPAC -> AdaptHealth 2019-11,yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
OPCH,b_reverse_merger,"former name 'BioScrip, Inc.' (2004-11-03..2019-08-02) -> 'Option Care Health, Inc.'; SIC now Services-Home Health Care Services; BioScrip (legal) / Option Care (accounting acquirer) 2019-08",yes,As-filed year-ago quarters are the legal acquirer's standalone results; post-merger quarters are the combined company (accounting acquirer as predecessor). YoY for the first 4 post-merger quarters mixes two companies. Fix: history break at the merger date.
KNTK,b_spac_lineage_cik,"former name 'Kayne Anderson Acquisition Corp' (2017-01-26..2018-11-13) -> 'Kinetik Holdings Inc.'; SIC now Natural Gas Transmission; Kayne Anderson Acq SPAC -> Altus Midstream 2018-11 (-> Kinetik 2022, EagleClaw reverse merger: dev-window mix)",yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
VRRM,b_spac_lineage_cik,"former name 'Gores Holdings II, Inc.' (2016-09-01..2018-10-03) -> 'VERRA MOBILITY Corp'; SIC now Transportation Services; Gores Holdings II SPAC -> Verra 2018-10",yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
MGY,b_spac_lineage_cik,former name 'TPG Pace Energy Holdings Corp.' (2017-02-28..2018-07-17) -> 'Magnolia Oil & Gas Corp'; SIC now Crude Petroleum & Natural Gas; TPG Pace Energy SPAC -> Magnolia 2018-07,yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
SKY,b_reverse_merger,"former name 'SKYLINE CORP' (1994-08-02..2018-05-31) -> 'Champion Homes, Inc.'; SIC now Mobile Homes; Skyline (legal) / Champion (accounting acquirer) 2018-06; FY change",yes,As-filed year-ago quarters are the legal acquirer's standalone results; post-merger quarters are the combined company (accounting acquirer as predecessor). YoY for the first 4 post-merger quarters mixes two companies. Fix: history break at the merger date.
CLSK,b_business_change,"former name 'STRATEAN INC.' (2014-12-01..2016-11-08) -> 'CLEANSPARK, INC.'; SIC now Finance Services; SmartData -> Stratean -> CleanSpark; later bitcoin mining. Same legal entity, business pivots; thin OTC until 2020",no,Same legal entity throughout; as-filed figures are that entity's own. No two-company mix in 2017-2021.
PR,b_spac_lineage_cik,former name 'Silver Run Acquisition Corp' (2015-11-17..2016-10-14) -> 'Permian Resources Corp'; SIC now Crude Petroleum & Natural Gas; Silver Run SPAC -> Centennial 2016-10,yes,"The CIK is the SPAC shell. Its as-filed 10-Qs (trust income, tiny or negative EPS) are the year-ago quarters for the first 4 post-merger quarters, so YoY EPS growth is operating company vs shell (spurious PASS/turnaround). Yahoo shows ~$10 flat shell prices before the merger, which bias SMA200/52-wk. Fix: drop fundamentals and prices before the merger close."
SAFE,b_business_change,former name 'ISTAR FINANCIAL INC' (2000-06-27..2015-08-19) -> 'Safehold Inc.'; SIC now Real Estate Investment Trusts; iStar renamed Safehold 2023 (reverse merger: old Safehold accounting acquirer). Prices+CIK = iStar lineage,no,Dev-window only (2023-2024 YoY across the reverse merger); the validation window is consistent iStar.
GRBK,b_business_change,"former name 'BioFuel Energy Corp.' (2006-12-08..2014-10-22) -> 'Green Brick Partners, Inc.'; SIC now Operative Builders; BioFuel Energy -> Green Brick (homebuilder) 2014-10. Before the warm-up window",no,Same legal entity throughout; as-filed figures are that entity's own. No two-company mix in 2017-2021.
LEU,b_business_change,former name 'USEC INC' (1998-12-28..2014-09-29) -> 'CENTRUS ENERGY CORP'; SIC now Mining & Quarrying of  Nonmetallic Minerals (No Fuels); USEC -> Centrus via 2014 bankruptcy. Before the warm-up window,no,Same legal entity throughout; as-filed figures are that entity's own. No two-company mix in 2017-2021.
AA,b_former_name,former name 'Alcoa Upstream Corp' (2016-06-29..2016-10-31) -> 'Alcoa Corp'; SIC now Primary Production of  Aluminum,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AAON,b_former_name,"former name 'AAON INC' (1995-11-13..2019-07-01) -> 'AAON, INC.'; SIC now Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ACM,b_former_name,former name 'AECOM TECHNOLOGY CORP' (2002-08-23..2015-01-07) -> 'AECOM'; SIC now Services-Engineering Services,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ACT,b_former_name,"former name 'Genworth Mortgage Holdings, Inc.' (2020-09-15..2021-05-04) -> 'Enact Holdings, Inc.'; SIC now Insurance Agents, Brokers & Service",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ADEA,b_former_name,former name 'XRAY-TWOLF HoldCo Corp' (2020-02-18..2020-04-22) -> 'Adeia Inc.'; SIC now Cable & Other Pay Television Services,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ADMA,b_former_name,"former name 'R&R ACQUISITION VI, INC' (2006-07-10..2012-02-21) -> 'ADMA BIOLOGICS, INC.'; SIC now Biological Products, (No Diagnostic Substances)",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ADNT,b_former_name,former name 'Adient Ltd' (2016-04-26..2016-11-29) -> 'Adient plc'; SIC now Motor Vehicle Parts & Accessories,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ADT,b_former_name,"former name 'ADT, Inc.' (2017-09-28..2018-01-30) -> 'ADT Inc.'; SIC now Services-Detective, Guard & Armored Car Services",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ADT,b_former_name,"former name 'Prime Security Services Parent, Inc.' (2017-04-11..2017-04-11) -> 'ADT Inc.'; SIC now Services-Detective, Guard & Armored Car Services",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AGNT,b_former_name,"former name 'EXP Realty International Corp' (2013-09-09..2016-04-27) -> 'AGNT, Inc.'; SIC now Real Estate Agents & Managers (For Others)",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AHR,b_former_name,"former name 'Griffin-American Healthcare REIT IV, Inc.' (2015-02-10..2021-09-30) -> 'American Healthcare REIT, Inc.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AHR,b_former_name,"former name 'Griffin-American Healthcare REIT 4, Inc.' (2015-04-30..2015-10-23) -> 'American Healthcare REIT, Inc.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ALGM,b_former_name,"former name 'ALLEGRO MICROSYSTEMS INC' (2007-08-08..2020-10-21) -> 'ALLEGRO MICROSYSTEMS, INC.'; SIC now Semiconductors & Related Devices",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AM,b_former_name,former name 'Antero Midstream GP LP' (2017-02-24..2019-03-11) -> 'Antero Midstream Corp'; SIC now Natural Gas Transmission,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AM,b_former_name,former name 'Antero Resources Midstream Management LLC' (2014-11-04..2017-05-05) -> 'Antero Midstream Corp'; SIC now Natural Gas Transmission,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AMKR,b_former_name,"former name 'AMKOR TECHNOLOGY INC' (1997-10-22..2015-02-19) -> 'AMKOR TECHNOLOGY, INC.'; SIC now Semiconductors & Related Devices",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AMR,b_former_name,"former name 'Contura Energy, Inc.' (2017-05-08..2021-01-29) -> 'Alpha Metallurgical Resources, Inc.'; SIC now Bituminous Coal & Lignite Surface Mining",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AMRX,b_former_name,"former name 'Atlas Holdings, Inc.' (2017-11-21..2018-04-13) -> 'Amneal Pharmaceuticals, Inc.'; SIC now Pharmaceutical Preparations",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ANDE,b_former_name,"former name 'ANDERSONS INC' (1996-08-20..2014-10-16) -> 'Andersons, Inc.'; SIC now Wholesale-Farm Product Raw Materials",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
APLE,b_former_name,"former name 'Apple REIT Nine, Inc.' (2007-11-15..2014-02-28) -> 'Apple Hospitality REIT, Inc.'; SIC now Real Estate Investment Trusts",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ARCB,b_former_name,former name 'ARKANSAS BEST CORP /DE/' (1994-03-30..2014-04-28) -> 'ARCBEST CORP /TX/'; SIC now Trucking (No Local),no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ARMK,b_former_name,former name 'ARAMARK Holdings Corp' (2013-09-09..2014-05-09) -> 'Aramark'; SIC now Retail-Eating  Places,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AROC,b_former_name,"former name 'EXTERRAN HOLDINGS INC.' (2007-05-03..2015-11-04) -> 'Archrock, Inc.'; SIC now Natural Gas Transmission",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ARWR,b_former_name,"former name 'ARROWHEAD RESEARCH CORP' (2004-01-13..2016-04-06) -> 'ARROWHEAD PHARMACEUTICALS, INC.'; SIC now Pharmaceutical Preparations",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
ATR,b_former_name,"former name 'APTARGROUP INC' (1995-10-17..2021-12-10) -> 'APTARGROUP, INC.'; SIC now Plastics Products, NEC",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AUB,b_former_name,former name 'UNION BANKSHARES CORP' (2014-05-01..2019-05-13) -> 'Atlantic Union Bankshares Corp'; SIC now State Commercial Banks,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AUB,b_former_name,former name 'Union Bankshares Corp' (2014-05-01..2019-05-13) -> 'Atlantic Union Bankshares Corp'; SIC now State Commercial Banks,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AUB,b_former_name,former name 'UNION FIRST MARKET BANKSHARES CORP' (2010-02-02..2014-04-29) -> 'Atlantic Union Bankshares Corp'; SIC now State Commercial Banks,no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AVNT,b_former_name,"former name 'POLYONE CORP' (2000-09-06..2020-06-26) -> 'AVIENT CORP'; SIC now Plastic Materials, Synth Resins & Nonvulcan Elastomers",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AVTR,b_former_name,"former name 'Vail Holdco Corp' (2017-12-28..2017-12-28) -> 'Avantor, Inc.'; SIC now Laboratory Analytical Instruments",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AX,b_former_name,"former name 'BofI Holding, Inc.' (2004-12-16..2018-09-12) -> 'Axos Financial, Inc.'; SIC now Savings Institution, Federally Chartered",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
AZTA,b_former_name,"former name 'Brooks Automation, Inc.' (2019-05-28..2021-11-24) -> 'Azenta, Inc.'; SIC now Special Industry Machinery, NEC",no,"Plain rename / spin-co or holdco naming of the same entity; prices and filings refer to the same company. No SIC history is available in the SEC submissions API (current SIC only), so this is judged from names plus the other checks."
